Xbox Game Title	Title ID (Hex)	Title	XDK version
FIFA Soccer 07	454100A6	FIFA 07	5849
FIFA Soccer 2003	45410017	FIFA SOCCER 2003	4721
FIFA Soccer 2005	4541004E	FIFA Soccer 2005	5849
FIFA STREET	45410072	FIFA Street	5849
FIFA Street 2	45410085	FIFA STREET 2	5849
FIFA World Cup - Germany 2006	4541009C	2006 FIFA World Cup	5849
FIFA World Cup 2002	4541000B	FIFA World Cup TM	4039
Fight Club	5655002F	FightClub	5849
Fight Night 2004	4541004B	Fight Night 2004	5659
Fight Night Round 2	45410055	EA SPORTS FN 2	5849
Fila World Tour Tennis	54510009	FILA World Tour Tennis	4627
Final Fight Streetwise	43430013	Final Fight Streetwise	5849
Finding Nemo	5451001E	Finding Nemo	5344
Fireblade	4D570012	Fireblade	4831
FlatOut	454D0009	FlatOut	5849
FlatOut 2	454D0020	FlatOut2	5849
Flight Academy	41510002	FlightAcademy	4361
Ford Bold Moves Street Racing	454D001F	Ford Street Racing	5849
Ford Mustang: The Legend Lives	54540077	Ford Mustang	5849
Ford Racing 2	454D0007	Ford Racing 2	5558
Ford Racing 3	454D000D	Ford Racing 3	5849
Ford vs Chevy	54540089	Ford vs. Chevy	5849
Forgotten Realms: Demon Stone	49470074	N/A	5849
Forza Motorsport	4D53006E	Forza Motorsport	5849
Frankie Dettori Racing (PAL)			5849
Freaky Flyers	4D570007	Freaky Flyers	5455
Freedom Fighters	4541002E	Freedom Fighters	5558
Freestyle MetalX	4D570017	Freestyle MetalX	5455
Freestyle Street Soccer	3FA2CC33	Freestyle Street Soccer	5558
Frogger Beyond	4B4E0013	Frogger Beyond	4831
Frogger: Ancient Shadow	4B4E002C	Frogger Ancient Shadow	5849
Full Spectrum Warrior	54510022	Full Spectrum Warrior	5849
Full Spectrum Warrior: Ten Hammers	545100F8	Full Spectrum Warrior: Ten Hammers	5849
Furious Karting	4947000B	Furious Karting	5233
Futurama	46490002	Futurama	5233
Future Tactics: The Uprising	43560007	Uprising	5849
Fuzion Frenzy	4D530002	Fuzion Frenzy	3925
Galaxy Angel	42520001	GalaxyAngel	4831
Galleon	41540004	Galleon	5849
Gauntlet Dark Legacy	4D57000E	Gauntlet Dark Legacy	4242
Gauntlet: Seven Sorrows	4D570022	Gauntlet: Seven Sorrows	5849
Gene Troopers	544D0011	Gene Troopers	5849
Genma Onimusha	43430001	GENMA ONIMUSHA	3948
